Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class,Transport_Protocol_1,Transport_Protocol_2
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
2.96,2.021923077,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
1.29,1.8345,90,93.9,298,534,507.3,702,0,5,4,0.8,1,True,False
0.02,0.839704755,64,106.0653595,120,92,392.7018256,120,0,2,1,0.5,1,False,True
3.77,31.41504798,0,356.4587332,120,0,28422.38964,0,0,3,0,0.0,0,True,False
0.0,0.0,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.42,0.380253623,0,0.0,60,0,0.0,80,0,1,2,2.0,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
2.99,4.03748503,0,76.5988024,100,0,3832.91018,0,0,2,0,0.0,0,True,False
2.96,5.128403869,158,32.81559855,374,0,0.0,168,0,5,4,0.8,1,True,False
0.58,7.0,0,148.6992481,88,0,19616.79699,44,0,2,1,0.5,0,True,False
3.1,5.128403869,0,32.81559855,96,0,0.0,0,0,2,0,0.0,1,True,False
19.11,22.0951087,510,536.5,1436,196,22127.52174,324,0,10,3,0.3,1,True,False
0.0,1.493769231,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
3.0,3.000916031,0,0.0,120,0,0.0,0,0,2,0,0.0,1,True,False
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
7.66,13.43875,25,43.75,53,2,60.5,30,0,1,1,1.0,0,False,True
48.78,45.11333333,6,6.333333333,90,125,100.0,265,0,3,5,1.666666667,0,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
3.0,1.39,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
14.38,8.59,50,40.38461538,106,6,2.923076923,90,0,2,3,1.5,0,False,True
0.95,0.218568665,47,48.01844964,75,115,234.3900461,143,0,1,1,1.0,1,False,True
33.17,27.31666667,79,71.33333333,219,81,72.0,249,0,5,6,1.2,0,False,True
0.15,2.3184375,0,85.375,80,0,5115.46875,80,0,2,2,1.0,1,True,False
0.09,0.218568665,48,48.01844964,76,201,234.3900461,229,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
11.25,12.95666667,2,27.0,30,25,26.33333333,53,0,1,1,1.0,0,False,True
0.0,0.012398725,36,38.84084292,64,262,141.052849,0,0,1,0,0.0,1,False,True
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
0.05,8.388461538,0,211.2307692,80,0,797.9230769,40,0,2,1,0.5,1,True,False
0.0,0.0,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
19.08,12.72833333,52,52.0,136,29,94.83333333,113,0,3,3,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
3.0,3.0,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.33,0.336666667,345,345.0,553,1613,1613.0,1817,0,5,5,1.0,1,True,False
3.0,3.001111111,0,0.0,120,0,0.0,0,0,2,0,0.0,1,True,False
